Epoch 1:train_loss = 0.03488174080848694,  val_loss = 0.027306459844112396
Epoch 2:train_loss = 0.02218972146511078,  val_loss = 0.023377683013677597
Epoch 3:train_loss = 0.018449101597070694,  val_loss = 0.02253364957869053
Epoch 4:train_loss = 0.017260268330574036,  val_loss = 0.02203092724084854
Epoch 5:train_loss = 0.01614915207028389,  val_loss = 0.021530598402023315
Epoch 6:train_loss = 0.015467907302081585,  val_loss = 0.021054580807685852
Epoch 7:train_loss = 0.015004975721240044,  val_loss = 0.020861255005002022
Epoch 8:train_loss = 0.014671629294753075,  val_loss = 0.021377738565206528
Epoch 9:train_loss = 0.014513596892356873,  val_loss = 0.020665405318140984
Epoch 10:train_loss = 0.014225482940673828,  val_loss = 0.02130991406738758
Epoch 11:train_loss = 0.01430588774383068,  val_loss = 0.020510461181402206
Epoch 12:train_loss = 0.014436742290854454,  val_loss = 0.020668301731348038
Epoch 13:train_loss = 0.013805590569972992,  val_loss = 0.02031157724559307
Epoch 14:train_loss = 0.013452986255288124,  val_loss = 0.020308949053287506
Epoch 15:train_loss = 0.013395283371210098,  val_loss = 0.02013450115919113
Epoch 16:train_loss = 0.013224407099187374,  val_loss = 0.020404286682605743
Epoch 17:train_loss = 0.013161453418433666,  val_loss = 0.02023463509976864
Epoch 18:train_loss = 0.01308441162109375,  val_loss = 0.020098770037293434
Epoch 19:train_loss = 0.01318990346044302,  val_loss = 0.02011329121887684
Epoch 20:train_loss = 0.012844390235841274,  val_loss = 0.02000795677304268
Epoch 21:train_loss = 0.01272491179406643,  val_loss = 0.020020468160510063
Epoch 22:train_loss = 0.012588449753820896,  val_loss = 0.020077187567949295
Epoch 23:train_loss = 0.013100492767989635,  val_loss = 0.019898485392332077
Epoch 24:train_loss = 0.012647880241274834,  val_loss = 0.01973564550280571
Epoch 25:train_loss = 0.012445992790162563,  val_loss = 0.020041508600115776
Epoch 26:train_loss = 0.012332548387348652,  val_loss = 0.019696002826094627
Epoch 27:train_loss = 0.012066058814525604,  val_loss = 0.019924329593777657
Epoch 28:train_loss = 0.011997324414551258,  val_loss = 0.019859643653035164
Epoch 29:train_loss = 0.012362049892544746,  val_loss = 0.019979888573288918
Epoch 30:train_loss = 0.012088262476027012,  val_loss = 0.019942786544561386
Epoch 31:train_loss = 0.011817649006843567,  val_loss = 0.01961376518011093
Epoch 32:train_loss = 0.011807984672486782,  val_loss = 0.019359085708856583
Epoch 33:train_loss = 0.011726734228432178,  val_loss = 0.019603511318564415
Epoch 34:train_loss = 0.011523807421326637,  val_loss = 0.019545014947652817
Epoch 35:train_loss = 0.01143469475209713,  val_loss = 0.019946729764342308
Epoch 36:train_loss = 0.011579005047678947,  val_loss = 0.019365401938557625
Epoch 37:train_loss = 0.011305375024676323,  val_loss = 0.02047187276184559
Epoch 38:train_loss = 0.01122074294835329,  val_loss = 0.01981792412698269
Epoch 39:train_loss = 0.011051132343709469,  val_loss = 0.01964857615530491
Epoch 40:train_loss = 0.01091073453426361,  val_loss = 0.019704321399331093
Epoch 41:train_loss = 0.010807570070028305,  val_loss = 0.01985030248761177
Epoch 42:train_loss = 0.010768392123281956,  val_loss = 0.019947709515690804
Epoch 43:train_loss = 0.01028597541153431,  val_loss = 0.020479727536439896
Epoch 44:train_loss = 0.010444918647408485,  val_loss = 0.020386073738336563
Epoch 45:train_loss = 0.010282719507813454,  val_loss = 0.020678848028182983
Epoch 46:train_loss = 0.010212329216301441,  val_loss = 0.020766695961356163
Epoch 47:train_loss = 0.01020782720297575,  val_loss = 0.020565852522850037
Epoch 48:train_loss = 0.009833571501076221,  val_loss = 0.021046722307801247
Epoch 49:train_loss = 0.009974995627999306,  val_loss = 0.02129274047911167
Epoch 50:train_loss = 0.00974828191101551,  val_loss = 0.021119374781847
Epoch 51:train_loss = 0.009444649331271648,  val_loss = 0.02257663570344448
Epoch 52:train_loss = 0.00933193601667881,  val_loss = 0.021126076579093933
Epoch 53:train_loss = 0.009733688086271286,  val_loss = 0.022994911298155785
Epoch 54:train_loss = 0.00918175745755434,  val_loss = 0.021734941750764847
Epoch 55:train_loss = 0.008937222883105278,  val_loss = 0.02218223363161087
Epoch 56:train_loss = 0.009418273344635963,  val_loss = 0.022904030978679657
Epoch 57:train_loss = 0.009133938699960709,  val_loss = 0.022064564749598503
Epoch 58:train_loss = 0.008775101974606514,  val_loss = 0.02267931029200554
Epoch 59:train_loss = 0.008584924973547459,  val_loss = 0.022704320028424263
Epoch 60:train_loss = 0.008375312201678753,  val_loss = 0.023504862561821938
Epoch 61:train_loss = 0.009238913655281067,  val_loss = 0.02309468761086464
Epoch 62:train_loss = 0.008490354754030704,  val_loss = 0.02253202348947525
Epoch 63:train_loss = 0.008583673276007175,  val_loss = 0.022956600412726402
Epoch 64:train_loss = 0.007922550663352013,  val_loss = 0.02360399439930916
Epoch 65:train_loss = 0.007885810919106007,  val_loss = 0.025186695158481598
Epoch 66:train_loss = 0.007843000814318657,  val_loss = 0.024411257356405258
Epoch 67:train_loss = 0.007806630805134773,  val_loss = 0.02510829083621502
Epoch 68:train_loss = 0.007768167182803154,  val_loss = 0.024926183745265007
Epoch 69:train_loss = 0.007463918067514896,  val_loss = 0.025453094393014908
Epoch 70:train_loss = 0.007268387358635664,  val_loss = 0.025737302377820015
Epoch 71:train_loss = 0.007164498791098595,  val_loss = 0.0254753977060318
Epoch 72:train_loss = 0.007035707123577595,  val_loss = 0.02612028457224369
Epoch 73:train_loss = 0.006903030443936586,  val_loss = 0.027725117281079292
Epoch 74:train_loss = 0.006918036844581366,  val_loss = 0.027635836973786354
Epoch 75:train_loss = 0.006858151871711016,  val_loss = 0.02806413546204567
Epoch 76:train_loss = 0.006572160869836807,  val_loss = 0.02792801335453987
Epoch 77:train_loss = 0.006459277588874102,  val_loss = 0.026886167004704475
Epoch 78:train_loss = 0.006571169942617416,  val_loss = 0.028651000931859016
Epoch 79:train_loss = 0.007409854792058468,  val_loss = 0.027076059952378273
Epoch 80:train_loss = 0.006657836493104696,  val_loss = 0.029331253841519356
Epoch 81:train_loss = 0.00642653601244092,  val_loss = 0.026772916316986084
Epoch 82:train_loss = 0.006202679593116045,  val_loss = 0.02893548458814621
Epoch 83:train_loss = 0.006316922605037689,  val_loss = 0.027799254283308983
Epoch 84:train_loss = 0.006002376787364483,  val_loss = 0.02932170405983925
Epoch 85:train_loss = 0.00597285944968462,  val_loss = 0.02978656254708767
Epoch 86:train_loss = 0.006034799851477146,  val_loss = 0.029613250866532326
Epoch 87:train_loss = 0.0061342231929302216,  val_loss = 0.028243638575077057
Epoch 88:train_loss = 0.005982230883091688,  val_loss = 0.03003831021487713
Epoch 89:train_loss = 0.006082101259380579,  val_loss = 0.029155684635043144
Epoch 90:train_loss = 0.005588829517364502,  val_loss = 0.029274750500917435
Epoch 91:train_loss = 0.005884642247110605,  val_loss = 0.02875303104519844
Epoch 92:train_loss = 0.0058419122360646725,  val_loss = 0.029655050486326218
Epoch 93:train_loss = 0.005814586766064167,  val_loss = 0.02901473641395569
Epoch 94:train_loss = 0.005699606612324715,  val_loss = 0.03102591075003147
Epoch 95:train_loss = 0.005603984463959932,  val_loss = 0.030384674668312073
Epoch 96:train_loss = 0.0057319230400025845,  val_loss = 0.02965906634926796
Epoch 97:train_loss = 0.005469430238008499,  val_loss = 0.03073861263692379
Epoch 98:train_loss = 0.005522239021956921,  val_loss = 0.030238540843129158
Epoch 99:train_loss = 0.005323393270373344,  val_loss = 0.031034257262945175
Epoch 100:train_loss = 0.005178575869649649,  val_loss = 0.03095119073987007
